file_id,file,rule_id,raw_messages,distinct_elements,file_raw_total,file_distinct_total
F12,src/app/units/states/edit/directives/unit-tasks-editor/task-definition-editor/task-definition-overseer/task-definition-overseer.component.html,@angular-eslint/template/interactive-supports-focus,2,2,4,2
F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,@angular-eslint/template/mouse-events-have-key-events,0,0,6,4
F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,@angular-eslint/template/label-has-associated-control,2,2,6,4
F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,@angular-eslint/template/click-events-have-key-events,2,2,6,4
F13,src/app/units/states/edit/directives/unit-tasks-editor/unit-task-editor.component.html,@angular-eslint/template/interactive-supports-focus,2,2,6,4
F14,src/app/units/states/tasks/inbox/directives/staff-task-list/staff-task-list.component.html,@angular-eslint/template/mouse-events-have-key-events,0,0,2,1
F14,src/app/units/states/tasks/inbox/directives/staff-task-list/staff-task-list.component.html,@angular-eslint/template/label-has-associated-control,0,0,2,1
F14,src/app/units/states/tasks/inbox/directives/staff-task-list/staff-task-list.component.html,@angular-eslint/template/click-events-have-key-events,1,1,2,1
F14,src/app/units/states/tasks/inbox/directives/staff-task-list/staff-task-list.component.html,@angular-eslint/template/interactive-supports-focus,1,1,2,1
F15,src/app/units/task-viewer/directives/unit-task-list/unit-task-list.component.html,@angular-eslint/template/mouse-events-have-key-events,0,0,2,1
F15,src/app/units/task-viewer/directives/unit-task-list/unit-task-list.component.html,@angular-eslint/template/label-has-associated-control,0,0,2,1
F15,src/app/units/task-viewer/directives/unit-task-list/unit-task-list.component.html,@angular-eslint/template/click-events-have-key-events,1,1,2,1
F15,src/app/units/task-viewer/directives/unit-task-list/unit-task-list.component.html,@angular-eslint/template/interactive-supports-focus,1,1,2,1
